disease,item,category,details,source_name,source_url,evidence_level,requires_clinician,pregnancy_note,allergy_note
Influenza,Oseltamivir,Medicine reference,Antiviral used for some influenza infections; treatment is most useful when started early and it requires professional assessment.,MedlinePlus,https://medlineplus.gov/druginfo/meds/a699040.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Influenza,Acetaminophen,Supportive care,Can help reduce fever and aches; check the label and avoid duplicate acetaminophen-containing products.,MedlinePlus,https://medlineplus.gov/coldandcoughmedicines.html,Official patient reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Influenza,Ibuprofen,Supportive care,"May help relieve fever and body aches for appropriate patients; ask a clinician/pharmacist if you have kidney, stomach, heart or other conditions.",MedlinePlus,https://www.medlineplus.gov/ency/article/000709.htm,Official patient reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Influenza,Fluids and rest,Care guidance,Rest and hydration can support recovery; seek care for severe or worsening symptoms.,MedlinePlus,https://medlineplus.gov/flu.html,Official patient reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Asthma,Albuterol inhaler,Medicine reference,"Quick-relief bronchodilator used for wheezing, shortness of breath, coughing and chest tightness in asthma; use only according to an existing clinician plan.",MedlinePlus,https://www.medlineplus.gov/druginfo/meds/a682145.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Asthma,Inhaled corticosteroid,Medicine reference,Controller medicines reduce airway inflammation and are used regularly as directed by a clinician.,MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000005.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Asthma,Spacer / inhaler technique review,Care guidance,Correct inhaler technique and an agreed asthma action plan are important parts of asthma management.,MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000008.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Asthma,Urgent evaluation for severe breathing difficulty,Emergency,"Severe breathing difficulty, chest tightness that is not improving, or rapidly worsening symptoms require urgent medical attention.",MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000008.htm,Official patient reference,Urgent clinical evaluation,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Chronic Obstructive Pulmonary Disease (COPD),Albuterol / short-acting bronchodilator,Medicine reference,Quick-relief bronchodilators can open the airways during symptoms or flare-ups; the specific inhaler should be selected with a clinician.,MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000026.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Chronic Obstructive Pulmonary Disease (COPD),Long-acting inhaler therapy,Medicine reference,"COPD may require daily control medicines, including long-acting bronchodilators and selected inhaled therapies.",MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000025.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Chronic Obstructive Pulmonary Disease (COPD),Smoking cessation,Care guidance,Stopping smoking is the most important step for slowing COPD-related lung damage.,MedlinePlus,https://www.medlineplus.gov/copd.html,Official patient reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,N/A
Diabetes,Metformin,Medicine reference,Commonly used oral medicine for type 2 diabetes; suitability depends on the individual and kidney/liver status.,MedlinePlus,https://medlineplus.gov/druginfo/meds/a696005.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Diabetes,Other glucose-lowering medicines,Medicine reference,"Several medicine classes may be used alone or in combination depending on glucose control, kidney/heart health, side effects and other factors.",MedlinePlus,https://medlineplus.gov/ency/patientinstructions/000989.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Diabetes,Blood glucose monitoring,Care guidance,Regular glucose monitoring and individualized nutrition/activity planning are part of diabetes management.,MedlinePlus,https://medlineplus.gov/druginfo/meds/a696005.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Hypertension,ACE inhibitor,Medicine reference,ACE inhibitors are one class used to lower blood pressure; selection depends on comorbidities and clinician assessment.,MedlinePlus,https://medlineplus.gov/bloodpressuremedicines.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Hypertension,ARB,Medicine reference,Angiotensin receptor blockers relax blood vessels and are one option for blood-pressure treatment.,MedlinePlus,https://medlineplus.gov/ency/article/007484.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Hypertension,Calcium channel blocker,Medicine reference,Calcium channel blockers relax blood vessels and are commonly used for hypertension.,MedlinePlus,https://medlineplus.gov/bloodpressuremedicines.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Hypertension,Diuretic,Medicine reference,Diuretics reduce excess sodium and water and are another common hypertension treatment class.,MedlinePlus,https://medlineplus.gov/bloodpressuremedicines.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Hypertension,Lower-sodium lifestyle,Care guidance,"Physical activity, weight management where appropriate, stress management, adequate sleep and reducing sodium can support blood-pressure control.",MedlinePlus,https://medlineplus.gov/bloodpressuremedicines.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Pneumonia,Antibiotic therapy when bacterial,Medicine reference,Bacterial pneumonia is treated with antibiotics selected by a clinician; antibiotics do not treat viral pneumonia.,MedlinePlus,https://medlineplus.gov/pneumonia.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Pneumonia,Antiviral therapy when indicated,Medicine reference,Some viral pneumonias may be treated with antiviral medicines depending on the virus and clinical assessment.,MedlinePlus,https://medlineplus.gov/pneumonia.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Pneumonia,Oxygen / hospital support when severe,Emergency,Severe pneumonia or low oxygen may require hospital treatment and oxygen support.,MedlinePlus,https://medlineplus.gov/pneumonia.html,Official patient reference,Urgent clinical evaluation,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Common Cold,Acetaminophen,Supportive care,Can reduce fever and muscle aches; follow label directions and avoid duplicate products containing acetaminophen.,MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000466.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Common Cold,Ibuprofen,Supportive care,Can reduce fever and aches for appropriate patients; ask a professional when other conditions or medicines are present.,MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000466.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Common Cold,Saline / symptom-specific care,Care guidance,"Fluids, rest, saline measures and symptom-specific OTC products can help comfort; antibiotics do not cure a common cold.",MedlinePlus,https://medlineplus.gov/coldandcoughmedicines.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Bronchitis,Fluids and rest,Care guidance,"Acute bronchitis often improves with rest, fluids and symptom care.",MedlinePlus,https://medlineplus.gov/acutebronchitis.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Bronchitis,Acetaminophen,Supportive care,May help fever or body aches in appropriate patients; follow label directions.,MedlinePlus,https://www.medlineplus.gov/ency/article/001087.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Bronchitis,Bronchodilator if wheezing,Medicine reference,An inhaled medicine may be prescribed when wheezing or airway narrowing is present.,MedlinePlus,https://www.medlineplus.gov/ency/article/001087.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Bronchitis,Antibiotics only when bacterial,Medicine reference,Antibiotics do not help viral acute bronchitis; a clinician may use them when a bacterial cause is suspected.,MedlinePlus,https://medlineplus.gov/acutebronchitis.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Allergic Rhinitis,Antihistamine,Medicine reference,"Antihistamines can relieve symptoms such as sneezing, runny nose and itching.",MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000549.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Allergic Rhinitis,Nasal corticosteroid spray,Medicine reference,Nasal corticosteroid sprays are among the most effective treatments for allergic rhinitis.,MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000547.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Allergic Rhinitis,Allergen avoidance,Care guidance,Reducing exposure to known allergens can lower symptoms and treatment needs.,MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000547.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Eczema,Moisturizer / emollient,Care guidance,Regular moisturizing helps protect the skin barrier and reduce flares.,MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000418.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
